English Phrase,Meanings,Acts,Hindi Translation
habeas corpus,a writ to a jailor to produce a prisoner in person before the court and to state the reasons for detention,"art. 32(2), Const.",हैबियस कार्पस
habit,a settled disposition or tendency to act in a certain way especially one acquired by frequent repetition of the same act,"s. 7, ill. (c). Indian Evidence Act",आदत ; अभ् यास
habitation,,"s. 10, Indian Succession Act",आवास
"habits, dissipated",,,हैबियस कार्पस
"habits, extravagant",,,हैबियस कार्पस
"habits, incipient",,,सहज स् वभाव
habits of action,,,क्रियामूलक आदतें
habitual,doing by force of habit or constantly or repeatedly,"s. 110, Cr. P.C.",आशभ्यासिक
habitual defaulter,,,आभ्यासिक व्यतिक्रमी
habitual indebtedness,,,आभ्यासिक ऋणग्रस्तता
habitual offender,a person who is persistently leading a dishonest and criminal life,"s. 110, Cr. P.C.",आशभ्यासिक अपराधी
habitual receiver,a person who receives constantly or repeatedly,,आशभ्यासिक प्रापक
habitual robber,,"second sch., form No. 16, Cr. P.C.","९टमार्व sch. form No. 76, Cr. P.C] आशभ्यासिक लुटेरा"
habitually committing dacoity,,"s. 400, I.P.C.",अभ् यासत: डकैती करना
habitually negligent,by habit negligent; persistently negligent,"s. 14. ill., Indian Evidence Act",अभ्यासत
habitually resident,,"art. 366(2), Const.",साधारणतया निवासी
Hackney Carriage,,"s. 2, Hackney Carriage Act",भाड़ागाड़ी
haemoglobinopathies,,"s. 2(k), Pre-Natal Diagnostic Techinques (Regulation and Prevention of Misuse) Act",हीमोग्लोबि न विकृतियां
haemorrhage,a discharge of blood,,रक् तस्राव
Hague Convention respecting the law and customs of war on land,,"IIIrd sch., art. 135, Geneva Conventions Act",हैबियस कार्पस
half average pay,,,अधर् औसत वेतन
half-blood,two persons are said to be related to each other by half blood when they are descended from a common ancestor but by different wives,"s. 3(1)(e), Hindu Succession Act and s. 2, expln. II, Special Marriage Act",अधर्रक् त
half-brother,a brother by one parent only,,अधर्रक् त भाई
half holiday,,,आधी छुट्टी
halfmast,,,झुका
half-monthly payments,,,क संदाय
half pay,,,अधर् वेतन
half pay component,,,अधर् वेतन अंश
half pay leave,,,अर्ध वेतन छुट्टी
half pay leave due,,,प्राप्य अर्ध वेतन छुट्टी
half-sister,a sister by one parent only,,अर्धरक्‍्त-बहि न
half squadron,,"s. 89(1), Army Act",अधर् स् क् वाड्रन
half timer,,,अर्थ कालि क
Halftone Engraver,,,हाफटोन एन् गे्रवर
half-way home,,"s. 3(3), expln., Mental Health, Act",८0 स्वास्थ्य विश्राम गृह
half-yearly account,,,अर्धवार्षि क लेखा
half-yearly rests,rests for every half year,s. 23(f). Indian Trusts Act,८0 अर्धवार्षिक वि राम
hall,a large building in a university meant mainly for the residence of students,"s. 2(j), University of Hyderabad Act",छात्र नि वास; हाल
hall jamadar,,,हाल जमादार
Halt Conductor,,,व् यवधान कंडक् टर
halting allowance,an allowance for stopping,,वि राम भत्ता
halting expenses,,,ठहरने का व् यय
halting station,,"s. 11, Motor Transport Workers Act",वि राम स्टेशन
Hammerman,,,हथौडैवाला ; हथौड़ि या
hand,1. terminal part of human arm beyond wrist,"sch., Personal Injuries (Compensation Insurance) Act",हाथ ; 2.
hand barrows,,"r. 117, 6(3), Red Tariff No. 19",ठेला
hand-bill,a small printed bill or announcement usually for distribution by hand,"s. 127A(3)(b), Representation of the People Act, 1951",हैंडबि ल
hand book,,,पुस्ति का; हस्तक
"hand delivery, by",,,हैबियस कार्पस
hand grenade,a grenade to be thrown by hand,"s. 2(1)(e)(i), Arms Act","०(७, Arms Act] $3 ग्रेनेड"
handhold,,"s. 21(1)(vi), Factories Act",हत् था
handnote,a promissory note,,हैंडनोट
"hand of the judge, under the",,"Or. 21, r. 7. C.P.C.",हैबियस कार्पस
hand over the proceeds,,"s. 9(4), Industries (Development and Regulation) Act",आगम सौंप देना
Hand Press Operator (Hand Pressman),,,हाथ छपाईकार
hand-rail,,"s. 18(b), Railways Act",डंडहरा
hand receipt,,,दस् ती रसीद
"hand, under my",,"sch. I, app. B., No. 13, C.P.C.",हैबियस कार्पस
handed to the proper service,,"IInd sch., art. 35, Geneva Conventions Act",समुचि त सेवा में सौंपा गया
handicapped,1. a person with physical disability that limits the capacity to work and puts him to disadvantage,,"असुवि धाग्रस्त ; 2. [s. 3(2)(ii), Medical Termination of Pregnancy Act] वि कल्ांग"
handicapped dependant,,"s. 80D(1), Income-tax Act",असुवि धाग्रस्त आश्रि त
handicraft,,"s. 2(h), prov (iii), Trade Unions Act",हस्तशि oT; दस्तकारी
handle,"1. to touch, feel",,छूना ; छूकर देखना ; 2.
handling,,"sch., art. 11, Indian Carriage of Goods by Sea Act",उठाई-धराई ;
handling charges,,,चढ़ाई-उतराई प्रभार
handling in,,"s. 2(f), expln. 2(i), Motor Transport Workers Act",सौंपना
handling of aircraft,,"s. 64(a), Air Force Act",वायुयान का हथालना
handling of cargoes,,"s. 9(1), National Waterway (Allahabad- Haldia Stretch of the Ganga-Bhagirathi-Hoogly River) Act",की उठाई-धराई
