English Phrase,Meanings,Acts,Hindi Translation
machine,appliance and apparatus for applying mechanical power consisting of a number of part each having a definite function,"s. 73, ill. (i), Indian Contract Act",मशीन 
"machine, accounting",,,लेखा मशीन
"machine, adding",,,जोड़ मशीन
"machine, calculating",,,गणना मशीन
machine copy,,"s. 63, ill. (d), Indian Evidence act",यंत्रकृत प्रति
"machine, copying",,,मशीन 
"machine, foreman",,,मशीन फोरमैन
"machine, invoice",,,बीजक मशीन
"machine, punching",,,मशीन 
"machine, recording",,,मशीन 
machine setter,,,मशीन सेटर
machine shop,,,यंत्रालय
"machine, stappling",,,मशीन 
machine supervisor,,,मशीन पर्यवेक्षक
"machine, time recording",,,मशीन 
machine tools,,,मशीनी औजार
"machine, transcribing",,,मशीन 
machinery,1. machines or their parts taken collectively,"s. 8, T.P. Act and s. 383, Companies Act",मशीनरी 
machinist,,,मशीन मि स्त्री
"made out, no case has been",,"s. 245(1), Cr. P.C.",मशीन 
magazine,1. a supply chamber,"s. 2(1)(i), Arms Act",मैगजीन 
magic,"the use of means that are believed to have supernatural power, to cause a supernatural being to produce or prevent a particular result; the art of producing surprising phenomena resembling the result of magic","s. 56, ill(a), Indian Contract Act",जाद ू
magic remedies,,,चमत्कारि क उपचार
magisterial functions,the functions of a magistrate,,मिज स् टे्रट के कृत् य
magistrate,a civil officer charged with the administration of the laws and having criminal jurisdiction of the first instance; a public officer invested with judicial powers in criminal jurisdiction,"s. 3(32), General Clauses Act and art. 22(2), Const.",मिज स् टे्रट
"Magistrate, Additional Chief Metropolitan",,,अपर मुख् य महानगर मिज स् टे्रट
"Magistrate, Additional Chief Presidency",,,मशीन 
"Magistrate, Chief Presidency",,,मशीन 
"Magistrate, City",,,नगर मिज स् टे्रट
"magistrate, committing",,,सपुुदर् करने वाला मिज स् टे्रट
magistrate especially empowered,,,मजि स्ट्रेट जि से वि
magistrate having jurisdiction,,,अधि कारि ता रखने वाला
magistrate of district,,"s. 2, Sarais Act",िज ले का मिज स् टे्रट
