English Phrase,Meanings,Acts,Hindi Translation
a.m.,ante meridian,,पूवार्ह्न
abandon,"to give up; to leave without help; to surrender control or possession, frequently with the knowledge that the thing abandoned is left for the mercy of someone or something else","s. 68(2), T.P. Act",करना
abandon any of the objects,,"s. 17(1)(e), Companies Act",उददेश्यों में से किसी को परित्यक्त करना
abandon his application,,"s. 21(2), Trade and Merchandise Marks Act",अपने आवेदन का परित्याग करना
abandoned assets,,,परित्यक्त आस्तियां
abandonment,the action of abandoning,"s. 30, expln., Indian Evidence Act, s. 4(c), Gift-tax Act and art. 39(f), Const.",परित्याग
abandonment of child,,"s. 317, I.P.C.",शिशु का परित्याग
abandonment of works,,,संकर्म परित्याग
abate,1. to put an end to; to curtail,"Or. 22, r. 1, C.P.C.",उपशमन करना
abate in equal proportion,,"s. 49(2), Presidency-towns Insolvency Act",समान अनुपात A कमी होना
abatement,1. the action of abating; being abated,"Or. 22, r. 1, C.P.C.",उपशमन
abatement by reason of death,,"Or. 22, r. 6, C.P.C.",मतृ् यु के कारण उपशमन
abatement certificate,,,उपशमन प्रमाणपत्र
abatement made by application of bonus,,"IVth sch., form H para 7, Insurance Act",बोनस के उपयोजन TANT की गई कमी
abatement of duty on damaged or deteriorated goods,,"s. 22, Customs Act",उस माल पर शुल्क की कमी जिसका नुकसान या क्षय हो गया है
abatement of legacies,"the proportional diminution or reduction of the pecuniary legacies, when the funds or assets out of which such legacies are payable are not sufficient to pay them in full",,वसीयत संपदा में कमी
abatement of nuisance,,"s. 44C, Inland Vessels Act",न्यूसेंस का उपशमन
abatement of rent,,"s. 7(xi)(f), Court-fees Act",भाटक का उपशमन
abatement of suit,,"Or. 22, r. 1, C.P.C.",वाद का उपशमन
abatement of suit and bar of suit,,,वाद का उपशमन और वाद का वजर्न
abatement of water pollution,,"s. 16(2)(h), Water (Prevention and Control of Pollution) Act",जल प्रदषूण का उपशमन
abbreviation,a shortened form of a written word or phrase used for brevity in place of the whole,s. 98. Indian Evidence Act,संक्षेपाक्षर
abbreviation of a name,,"s. 2(1)(k), Trade and Merchandise Marks Act",नाम का संक्षेप
abduct,"to take away (especially a person) by fraud or force; to induce a person to go from any place, by force or deceitful means","s. 362, I.P.C.",अपहरण करना
abduction,the action of abducting,"s. 362, I.P.C.",अपहरण
abet,to instigate or encourage the commission of a crime,"s. 3(1), General Clauses Act and s. 278, Income-tax Act",दुष्प्रेरण
abetment,the action or fact of abetting,"s. 30. expln.. Indian Evidence Act, s. 278, Income-tax Act and ss. 89, fourthly, 107, 132, 135 and 138. I.P.C.",दषु् पे्ररण
abetment of false returns,,"s. 22, Companies (Profits) Surtax Act",८0 मिथ्या विवरणियों का दुष्प्रेरण
abettor,one who abets the commission of a crime,"ss. 108 and 445, firstly, I.P.C.",दषु् पे्ररक
abettor of the offence,,"s. 445, secondly, I.P.C.",अपराध का दषु् पे्ररक
abeyance,a state of suspension,,प्रास् थगन
abide by,,"art. 51A(a), Const.",पालन करना
ability,the quality or state of being able,,योग् यता
abjure violence,,"art. 51A(i), Const.",हिंसा से दूर रहना
able,having sufficient power or capacity,,समथर्
able-bodied,,,समर्थाग
able seaman,,,योग्य नाविक
abnormal profit,,"s. 349(4)(d), Companies Act",अप्रसामान् य लाभ
aboard an unregistered ship,,"s. 2(2), Citizenship Act",किसी अरजिस्ट्रीकृत पोत के फलक पर
abolish,"to put an end to; to demolish or destroy (mainly of institutions, customs and practices)",,उत्सादित करना
abolition,,"s. 15(e), Jawaharlal Nehru University Act, s. 27(1)(d), Coir Industry Act and art. 110(1)(a) and art. 117(1), prov., Const.",उत् सादन
abolition of posts,,,पदों का अंत
abolition of privy purses,,"long title, Rulers of Indian States (Abolition of Privileges) Act",निजी थैली की समाप्ति
abolition of titles,,"art. 18, margin, Const.",उपाधियों का अंत
abolition of untouchability,,"art. 17, margin, Const.",अस् पशृ् यता का अंत
abolition or creation of Legislative Councils in States,,"art. 169, margin, Const.",राज्यों में विधान परिषदों का उत्सादन या सृजन
aboriginal,,,आदिवासी
aboriginal welfare officers,,,आदिवासी कल्याण अधिकारी
A 1 abortive,1. fruitless,"s. 7(2)(i)(b), Indian Telegraph Act",बेकार
abortive exploration expenses,,"s. 42(a), Income-tax Act",निष्फल खोज के खर्चे
abortive trial,a trial in which no verdict is reached without any improper act or conduct of the parties,,निष्फल विचारण
about to take steps,,"s. 18(1), Arbitration Act",कदम उठाने वाला
above all,beyond every other consideration,,सर्वोपरि
above ground,,"s. 2(2)(b), Mines Act",भूमि के ऊपर
above named plaintiff,,"sch. I, app. A, form No. 38, C.P.C.",उक्त वादी
above par,,,रेर्ज PAI Englisl ।ह। -हिंदी
above the rank of,,"s. 34, Prevention of Cruelty to Animals Act",की पंक्ति के ऊपर
abrasion,superficial injury to skin or mucous membrane from scrapping or rubbing art,,खरोंच
abrasive wheel,,"s. 30(1), Factories Act",अपघर्षी चक्र
abridge abridge,to make shorter; to curtail; to diminish,,न् यूनन
abridgement,cutting short; abbreviation preserving the essence,,न् यूनन
abridgement of the work,,"s. 2(a)(iii), Copyright Act",कृति का संक्षेपण
abridges any of the rights,,"art. 31A, Const.",किसी अधिकार को न्यून करता है
abrogate,"to abolish by official, authoritative or formal action; to annul a formal law by an act of the legislative power","s. 4, Navy Act",निराकृत होना
